id,building_type,levels,geometry,boundary
4645693,civic,1,POINT (17.23722577590668 49.603859630399413),"POLYGON ((17.236917495727539 49.603874206542969, 17.237117767333984 49.604045867919922, 17.237533569335938 49.603847503662109, 17.237333297729492 49.603672027587891, 17.236917495727539 49.603874206542969))"
5082476,commercial,1,POINT (17.2477116097126 49.5758864862369),"POLYGON ((17.247453689575195 49.5758056640625, 17.247503280639648 49.576213836669922, 17.247701644897461 49.576202392578125, 17.247705459594727 49.576221466064453, 17.247821807861328 49.576217651367188, 17.247821807861328 49.576198577880859, 17.248020172119141 49.576187133789062, 17.247947692871094 49.575588226318359, 17.2474308013916 49.575614929199219, 17.2474308013916 49.575614929199219, 17.2474308013916 49.575618743896484, 17.247539520263672 49.575611114501953, 17.247539520263672 49.575611114501953, 17.247554779052734 49.575729370117188, 17.247470855712891 49.575733184814453, 17.247453689575195 49.57574462890625, 17.247461318969727 49.5758056640625, 17.247453689575195 49.5758056640625))"
5170025,civic,1,POINT (17.242484230813297 49.57826296714935),"POLYGON ((17.242507934570312 49.578414916992188, 17.242715835571289 49.578411102294922, 17.242715835571289 49.578407287597656, 17.2427978515625 49.578403472900391, 17.242780685424805 49.578079223632812, 17.242759704589844 49.578079223632812, 17.242761611938477 49.578109741210938, 17.242280960083008 49.578121185302734, 17.242279052734375 49.578086853027344, 17.242176055908203 49.578090667724609, 17.2421932220459 49.578418731689453, 17.24223518371582 49.578418731689453, 17.242237091064453 49.578453063964844, 17.242509841918945 49.578449249267578, 17.242507934570312 49.578414916992188))"
8017923,unspecified,1,POINT (17.233748607103195 49.583826386255204),"POLYGON ((17.233415603637695 49.584686279296875, 17.232795715332031 49.584220886230469, 17.233293533325195 49.583641052246094, 17.233325958251953 49.583614349365234, 17.234102249145508 49.583183288574219, 17.234930038452148 49.583473205566406, 17.234621047973633 49.583724975585938, 17.234722137451172 49.583778381347656, 17.235208511352539 49.583377838134766, 17.235210418701172 49.5833740234375, 17.235212326049805 49.583370208740234, 17.235214233398438 49.583358764648438, 17.235210418701172 49.583347320556641, 17.235208511352539 49.583343505859375, 17.235204696655273 49.583339691162109, 17.235198974609375 49.583335876464844, 17.235193252563477 49.583332061767578, 17.235187530517578 49.583328247070312, 17.235179901123047 49.583324432373047, 17.235166549682617 49.583320617675781, 17.235158920288086 49.583320617675781, 17.235141754150391 49.583320617675781, 17.235134124755859 49.583320617675781, 17.235126495361328 49.583324432373047, 17.235118865966797 49.583324432373047, 17.2351131439209 49.583328247070312, 17.235105514526367 49.583332061767578, 17.234989166259766 49.583427429199219, 17.234088897705078 49.583110809326172, 17.233348846435547 49.583526611328125, 17.233169555664062 49.583431243896484, 17.233121871948242 49.583423614501953, 17.233070373535156 49.583423614501953, 17.233024597167969 49.58343505859375, 17.232986450195312 49.583457946777344, 17.232961654663086 49.5834846496582, 17.232952117919922 49.583518981933594, 17.232961654663086 49.583549499511719, 17.232986450195312 49.583580017089844, 17.233003616333008 49.583591461181641, 17.233161926269531 49.583675384521484, 17.232686996459961 49.584228515625, 17.233358383178711 49.584732055664062, 17.233232498168945 49.584835052490234, 17.23322868347168 49.584842681884766, 17.233226776123047 49.584846496582031, 17.233226776123047 49.584854125976562, 17.23322868347168 49.584861755371094, 17.233230590820312 49.584869384765625, 17.233234405517578 49.584873199462891, 17.233238220214844 49.584877014160156, 17.233243942260742 49.584880828857422, 17.233249664306641 49.584884643554688, 17.233264923095703 49.584892272949219, 17.233272552490234 49.584892272949219, 17.233287811279297 49.584892272949219, 17.233304977416992 49.584892272949219, 17.233320236206055 49.584888458251953, 17.233325958251953 49.584884643554688, 17.23333740234375 49.584877014160156, 17.233819961547852 49.584491729736328, 17.233724594116211 49.584442138671875, 17.233415603637695 49.584686279296875))"
8018726,unspecified,1,POINT (17.298192637990528 49.5987807690794),"POLYGON ((17.298349380493164 49.598991394042969, 17.2982234954834 49.598556518554688, 17.298154830932617 49.598564147949219, 17.298137664794922 49.598564147949219, 17.298122406005859 49.598506927490234, 17.298028945922852 49.598518371582031, 17.298065185546875 49.5986442565918, 17.298051834106445 49.598648071289062, 17.298061370849609 49.598686218261719, 17.298074722290039 49.598682403564453, 17.298112869262695 49.598808288574219, 17.298122406005859 49.598846435546875, 17.29817008972168 49.5990104675293, 17.298244476318359 49.5989990234375, 17.298259735107422 49.599048614501953, 17.298284530639648 49.59906005859375, 17.2983341217041 49.599056243896484, 17.298316955566406 49.598995208740234, 17.298349380493164 49.598991394042969))"
8074458,commercial,1,POINT (17.271265364976578 49.58266289166027),"POLYGON ((17.271690368652344 49.582698822021484, 17.27168083190918 49.582695007324219, 17.271886825561523 49.582561492919922, 17.271486282348633 49.582298278808594, 17.271663665771484 49.582183837890625, 17.271066665649414 49.581794738769531, 17.270597457885742 49.582099914550781, 17.27116584777832 49.582469940185547, 17.271106719970703 49.5825080871582, 17.271108627319336 49.5825080871582, 17.271020889282227 49.582569122314453, 17.27105712890625 49.582592010498047, 17.270488739013672 49.582962036132812, 17.271360397338867 49.583530426025391, 17.272085189819336 49.583061218261719, 17.271610260009766 49.5827522277832, 17.271690368652344 49.582698822021484))"
12875185,unspecified,1,POINT (17.368119401854234 49.641973122031771),"POLYGON ((17.368017196655273 49.641986846923828, 17.368160247802734 49.642036437988281, 17.368219375610352 49.6419563293457, 17.368083953857422 49.641910552978516, 17.368017196655273 49.641986846923828))"
14464443,residential,5,POINT (17.234749260035148 49.6047603926626),"POLYGON ((17.235025405883789 49.604709625244141, 17.235017776489258 49.60467529296875, 17.235004425048828 49.604640960693359, 17.2349853515625 49.604610443115234, 17.234960556030273 49.604579925537109, 17.234931945800781 49.60455322265625, 17.234786987304688 49.604633331298828, 17.234796524047852 49.604640960693359, 17.234472274780273 49.604812622070312, 17.234485626220703 49.604866027832031, 17.234500885009766 49.604892730712891, 17.234518051147461 49.60491943359375, 17.234565734863281 49.604965209960938, 17.234710693359375 49.604888916015625, 17.234699249267578 49.604881286621094, 17.235025405883789 49.604709625244141))"
14464454,residential,1,POINT (17.239608136152281 49.603253882075805),"POLYGON ((17.239801406860352 49.603244781494141, 17.239831924438477 49.603302001953125, 17.239957809448242 49.603275299072266, 17.239879608154297 49.603130340576172, 17.239753723144531 49.6031608581543, 17.239755630493164 49.603164672851562, 17.239234924316406 49.6032829284668, 17.239276885986328 49.603363037109375, 17.239801406860352 49.603244781494141))"
14493891,garage,1,POINT (17.249217977287348 49.57768572098135),"POLYGON ((17.249073028564453 49.577953338623047, 17.249286651611328 49.57794189453125, 17.249423980712891 49.577934265136719, 17.249362945556641 49.577419281005859, 17.249013900756836 49.577434539794922, 17.249065399169922 49.577896118164062, 17.249073028564453 49.577953338623047))"
